ID,invoiceNumber,vendor_ID,purchaseOrder_ID,invoiceDate,materialCode,quantity,oldPrice,currentPrice,priceDifference,priceDeviationPercent,invoiceAmount,currency,invoiceStatus,blocked,mismatch
20111111-1111-1111-1111-111111111111,INV10001,11111111-1111-1111-1111-111111111111,10111111-1111-1111-1111-111111111111,2026-08-15,MAT-STEEL-001,1000.000,120.00,125.00,5.00,4.17,125000.00,INR,Approved,false,false
20222222-2222-2222-2222-222222222222,INV10002,22222222-2222-2222-2222-222222222222,10222222-2222-2222-2222-222222222222,2026-08-18,MAT-AUTO-002,500.000,160.00,168.00,8.00,5.00,84000.00,INR,Submitted,false,false
20333333-3333-3333-3333-333333333333,INV10003,33333333-3333-3333-3333-333333333333,10333333-3333-3333-3333-333333333333,2026-08-20,MAT-MECH-003,250.000,180.00,180.00,0.00,0.00,45000.00,INR,Paid,false,false
20444444-4444-4444-4444-444444444444,INV10004,44444444-4444-4444-4444-444444444444,10444444-4444-4444-4444-444444444444,2026-08-21,MAT-ELEC-004,800.000,185.00,200.00,15.00,8.11,160000.00,INR,Approved,false,false
20555555-5555-5555-5555-555555555555,INV10005,55555555-5555-5555-5555-555555555555,10555555-5555-5555-5555-555555555555,2026-08-23,MAT-PACK-005,400.000,140.00,152.00,12.00,8.57,60800.00,INR,Submitted,false,true
20666666-6666-6666-6666-666666666666,INV10006,66666666-6666-6666-6666-666666666666,10666666-6666-6666-6666-666666666666,2026-08-25,MAT-BEAR-006,300.000,300.00,330.00,30.00,10.00,99000.00,INR,UnderReview,true,true
20777777-7777-7777-7777-777777777777,INV10007,77777777-7777-7777-7777-777777777777,10777777-7777-7777-7777-777777777777,2026-08-26,MAT-CHEM-007,600.000,210.00,235.00,25.00,11.90,141000.00,INR,UnderReview,true,true
20888888-8888-8888-8888-888888888888,INV10008,88888888-8888-8888-8888-888888888888,10888888-8888-8888-8888-888888888888,2026-08-27,MAT-LOG-008,150.000,480.00,490.00,10.00,2.08,73500.00,INR,Paid,false,false
20999999-9999-9999-9999-999999999999,INV10009,99999999-9999-9999-9999-999999999999,10999999-9999-9999-9999-999999999999,2026-08-28,MAT-PLST-009,300.000,170.00,185.00,15.00,8.82,55500.00,INR,Approved,false,false
20aaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,INV10010,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,10aaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-08-29,MAT-MACH-010,450.000,390.00,450.00,60.00,15.38,202500.00,INR,Rejected,true,true
20bbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,INV10011,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,10bbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,2026-08-30,MAT-FAST-011,700.000,75.00,78.00,3.00,4.00,54600.00,INR,Paid,false,false
20cccccc-cccc-cccc-cccc-cccccccccccc,INV10012,cccccccc-cccc-cccc-cccc-cccccccccccc,10cccccc-cccc-cccc-cccc-cccccccccccc,2026-08-31,MAT-TOOL-012,200.000,520.00,545.00,25.00,4.81,109000.00,INR,Approved,false,false
20dddddd-dddd-dddd-dddd-dddddddddddd,INV10013,dddddddd-dddd-dddd-dddd-dddddddddddd,10dddddd-dddd-dddd-dddd-dddddddddddd,2026-09-02,MAT-RUB-013,350.000,185.00,205.00,20.00,10.81,71750.00,INR,UnderReview,true,true
20eeeeee-eeee-eeee-eeee-eeeeeeeeeeee,INV10014,eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,10eeeeee-eeee-eeee-eeee-eeeeeeeeeeee,2026-09-03,MAT-AUTO-014,500.000,400.00,460.00,60.00,15.00,230000.00,INR,Rejected,true,true
20ffffff-ffff-ffff-ffff-ffffffffffff,INV10015,ffffffff-ffff-ffff-ffff-ffffffffffff,10ffffff-ffff-ffff-ffff-ffffffffffff,2026-09-04,MAT-PREC-015,250.000,350.00,365.00,15.00,4.29,91250.00,INR,Approved,false,false
