ID,purchaseOrder_ID,material_ID,materialCode,materialDescription,materialGroup,orderedQuantity,unit,oldUnitPrice,newUnitPrice,priceDifference,priceDeviationPercent,contractPrice,currency,itemStatus,requestedDeliveryDate
056eb83d-5fa2-4972-999f-55d8b554455b,d5aab29f-c4aa-472f-a2a8-7ef988fba469,4ecd32d6-b5f8-4a5a-b5e7-860c38038341,MAT-PLY-19MM,19mm Commercial Plywood Sheet,Wood & Boards,500,M2,820,850,30,3.66,820.0,INR,CONFIRMED,2026-07-15
d4a5b8bb-95b9-4595-9b93-f1c70554a9ef,c03b766a-0679-4c8d-b705-1428f16c5c58,cab47d67-a0eb-4e10-9c29-11f76bb41336,MAT-STL-TUBE25,25mm MS Square Steel Tube,Metal,1200,KG,65,68,3,4.62,65.0,INR,OPEN,2026-07-20
53a1223a-5097-4d5e-937d-0cb089a64435,aeee2560-1bc4-4014-9c93-5ab71654922d,bcf1a26e-9617-4fc0-8a05-75f344f93461,MAT-FOAM-D32,PU Foam Block D32 Density,Foam,300,KG,200,210,10,5.0,200.0,INR,FULLY_DELIVERED,2026-07-25
1b1964a0-8e59-46b9-b961-912fc40558e5,3cb7a80f-b7f5-41ec-921c-9e304a1c2804,8f227321-e81a-4e1f-b067-e7b544a7b6f3,MAT-FAB-UPH01,Premium Upholstery Fabric,Textile,450,M,300,320,20,6.67,300.0,INR,PARTIALLY_DELIVERED,2026-07-30
32fc37fe-c634-44c5-a19d-99d1d6c46d92,40b8510d-ae71-41e6-883e-69c8b6a8f28b,e4cd7749-31cf-4d19-9328-a6921197aeed,MAT-GLS-TMP10,10mm Tempered Glass Top,Glass,80,EA,1400,1450,50,3.57,1400.0,INR,OPEN,2026-08-04
2c10b70f-7358-4ff5-9a43-268eb94a5148,1c9e3e05-f600-4953-afcd-aeae6f66a9d3,073d7deb-6d78-451a-b247-64744fe24aef,MAT-HNG-SS304,SS304 Concealed Cabinet Hinge,Hardware,2000,EA,42,45,3,7.14,42.0,USD,FULLY_DELIVERED,2026-08-09
fe84bb71-e015-4747-92ad-6a9d97e99eb7,0377df36-47a3-4045-a138-4a7085f28b49,d31f9389-2c43-4c01-9705-0abf797b5f6a,MAT-CST-75MM,75mm Swivel Caster Wheel,Hardware,600,EA,88,95,7,7.95,88.0,INR,CANCELLED,2026-08-14
71173bc5-b070-4f33-8f04-7242d7cedcef,58a50ffd-3f05-4f72-833d-20e57c3324da,c3678850-3ecb-4924-8f13-9a4f52339784,MAT-LAM-08MM,0.8mm Decorative Laminate Sheet,Wood & Boards,350,M2,460,480,20,4.35,460.0,INR,CLOSED,2026-08-19
6d6206c7-1400-4f6a-ba77-d126713e9b2f,4f3d530e-f462-4d77-bd58-f61295998297,dc4875f8-c334-45a8-b82a-49668bd70c46,MAT-LEA-GEN01,Genuine Leather Upholstery Hide,Textile,60,M2,2000,2100,100,5.0,2000.0,INR,OPEN,2026-08-24
aced7366-0b55-4f72-9358-72fad8cb2cd4,de579d50-4cd2-44d7-a18a-d6cd15e1429e,054a7fe0-c4a5-40a8-a100-0c5ea873ec54,MAT-BOX-5PLY,5-Ply Corrugated Packaging Box,Packaging,5000,EA,60,65,5,8.33,60.0,INR,CONFIRMED,2026-08-29
