ID,poNumber,vendor_ID,poDate,expectedDeliveryDate,poStatus,totalAmount,currency,paymentTerms,contractReference
10111111-1111-1111-1111-111111111111,PO10001,11111111-1111-1111-1111-111111111111,2026-08-01,2026-09-15,APPROVED,125000.00,INR,NET30,CTR-2026-001
10222222-2222-2222-2222-222222222222,PO10002,22222222-2222-2222-2222-222222222222,2026-08-03,2026-09-20,PENDING_APPROVAL,87500.00,INR,NET45,CTR-2026-002
10333333-3333-3333-3333-333333333333,PO10003,33333333-3333-3333-3333-333333333333,2026-08-05,2026-09-18,DRAFT,45000.00,INR,NET30,CTR-2026-003
10444444-4444-4444-4444-444444444444,PO10004,44444444-4444-4444-4444-444444444444,2026-08-06,2026-09-25,APPROVED,156000.00,INR,NET60,CTR-2026-004
10555555-5555-5555-5555-555555555555,PO10005,55555555-5555-5555-5555-555555555555,2026-08-08,2026-09-22,SENT_TO_VENDOR,62000.00,INR,NET30,CTR-2026-005
10666666-6666-6666-6666-666666666666,PO10006,66666666-6666-6666-6666-666666666666,2026-08-10,2026-09-28,ACCEPTED,210000.00,INR,NET45,CTR-2026-006
10777777-7777-7777-7777-777777777777,PO10007,77777777-7777-7777-7777-777777777777,2026-08-11,2026-09-30,PARTIALLY_DELIVERED,98000.00,INR,NET60,CTR-2026-007
10888888-8888-8888-8888-888888888888,PO10008,88888888-8888-8888-8888-888888888888,2026-08-12,2026-09-17,FULLY_DELIVERED,73500.00,INR,NET30,CTR-2026-008
10999999-9999-9999-9999-999999999999,PO10009,99999999-9999-9999-9999-999999999999,2026-08-14,2026-09-29,APPROVED,54000.00,INR,NET15,CTR-2026-009
10aaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,PO10010,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,2026-08-15,2026-10-05,REJECTED,180000.00,INR,NET90,CTR-2026-010
10bbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,PO10011,bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb,2026-08-17,2026-09-27,CANCELLED,32000.00,INR,NET30,CTR-2026-011
10cccccc-cccc-cccc-cccc-cccccccccccc,PO10012,cccccccc-cccc-cccc-cccc-cccccccccccc,2026-08-18,2026-10-01,PENDING_APPROVAL,112000.00,INR,NET45,CTR-2026-012
10dddddd-dddd-dddd-dddd-dddddddddddd,PO10013,dddddddd-dddd-dddd-dddd-dddddddddddd,2026-08-20,2026-10-10,CLOSED,66000.00,INR,NET30,CTR-2026-013
10eeeeee-eeee-eeee-eeee-eeeeeeeeeeee,PO10014,eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee,2026-08-21,2026-10-12,REJECTED,245000.00,INR,NET60,CTR-2026-014
10ffffff-ffff-ffff-ffff-ffffffffffff,PO10015,ffffffff-ffff-ffff-ffff-ffffffffffff,2026-08-22,2026-10-15,APPROVED,132500.00,INR,NET45,CTR-2026-015
